accn|cik|entityName|loc|end|val
0001437749-19-013851|7623|ARTS WAY MANUFACTURING CO INC|US-IA|2019-05-31|936036
0000008063-19-000034|8063|ASTRONICS CORPORATION|US-NY|2019-06-29|42964000
0001193125-19-240851|8146|AstroNova, Inc.|US-RI|2019-08-03|9403000
0001575705-19-000091|8504|AGEAGLE AERIAL SYSTEMS INC.|US-KS|2019-06-30|136667
0000008670-20-000032|8670|Automatic     Data Processing, Inc.|US-NJ|2019-06-30|125500000
0001410578-19-000582|8818|AVERY DENNISON CORPORATION|US-CA|2019-06-29|1055400000
0000008858-20-000025|8858|AVNET, INC.|US-AZ|2019-06-29|1864342000
0000008868-19-000039|8868|AVON PRODUCTS, INC.|GB-|2019-06-30|682200000
0000008947-19-000136|8947|AZZ Inc.|US-TX|2019-05-31|60436000
0001564590-19-027022|9092|BADGER METER, INC.|US-WI|2019-06-30|29556000
0001558370-19-006925|9389|BALL Corp|US-CO|2019-06-30|2739000000
0000009984-19-000076|9984|BARNES GROUP INC|US-CT|2019-06-30|132018000
0000010048-19-000017|10048|BARNWELL INDUSTRIES, INC.|US-HI|2019-06-30|1214000
0000010254-19-000084|10254|EARTHSTONE ENERGY, INC.|US-TX|2019-06-30|21497000
0001437749-19-013287|10329|BASSETT FURNITURE INDUSTRIES, INCORPORATED|US-VA|2019-06-01|19587000
0000012400-19-000009|12400|BLACK HILLS POWER INC|US-SD|2019-06-30|22730000
0000012927-19-000063|12927|BOEING CO|US-IL|2019-06-30|15267000000
0001564590-19-031869|13156|GALAXY GAMING, INC.|US-NV|2019-06-30|1334830
0000013239-19-000045|13239|HEXION INC.|US-OH|2019-06-30|293000000
0001437749-20-020178|13573|BOWL AMERICA INC|-|2019-06-30|820491
0001493152-19-013328|14177|BRIDGFORD FOODS CORPORATION|US-CA|2019-07-12|7767000
0000014195-20-000029|14195|BRIGGS & STRATTON CORP|US-WI|2019-06-30|287620000
0000014272-19-000160|14272|BRISTOL-MYERS SQUIBB COMPANY|US-NY|2019-06-30|2005000000
0000014930-20-000121|14930|Brunswick Corporation|US-IL|2019-06-29|412900000
0001104659-20-108359|15357|CHASE GENERAL CORP|US-MO|2019-06-30|78549
0000015615-19-000028|15615|MASTEC INC|US-FL|2019-06-30|633245000
0001437749-19-018371|15847|BUTLER NATIONAL CORPORATION|US-KS|2019-07-31|1736000
0001564590-20-040205|16058|CACI International Inc|US-VA|2019-06-30|118917000
0000016099-19-000057|16099|LUBY’S, INC.|US-TX|2019-06-05|8475000
0000016160-20-000078|16160|Cal-Maine Foods, Inc.|US-MS|2019-06-01|39210000
0000016732-20-000111|16732|CAMPBELL SOUP CO|US-NJ|2019-07-28|814000000
0000016918-19-000056|16918|CONSTELLATION BRANDS, INC.|US-NY|2019-05-31|579100000
0000017843-20-000071|17843|CARPENTER TECHNOLOGY CORP|US-PA|2019-06-30|238700000
0000018172-19-000029|18172|A. M. CASTLE & CO.|US-IL|2019-06-30|48475000
0000018230-19-000224|18230|CATERPILLAR INC|US-IL|2019-06-30|7022000000
0000018255-19-000032|18255|THE CATO CORP|US-NC|2019-08-03|67718000
0001564590-20-043082|18498|Genesco Inc|US-TN|2019-08-03|157822000
0000018926-19-000018|18926|LUMEN TECHNOLOGIES, INC.|US-LA|2019-06-30|1634000000
0001558370-19-006530|19411|MAGELLAN HEALTH, INC.|US-AZ|2019-06-30|75436000
0000019446-20-000073|19446|CANTEL MEDICAL LLC|US-NJ|2019-07-31|39450000
0000019584-19-000003|19584|CHEMED CORPORATION|US-OH|2019-06-30|51143000
0001628280-19-010430|19745|CHESAPEAKE UTILITIES CORPORATION|US-DE|2019-06-30|50645000
0001193125-19-216866|19871|CHICAGO RIVET & MACHINE CO|US-IL|2019-06-30|803921
0000020212-19-000037|20212|Churchill Downs Incorporated|US-KY|2019-06-30|107200000
0000020520-19-000029|20520|FRONTIER COMMUNICATIONS PARENT, INC.|US-CT|2019-06-30|452000000
0000020629-19-000101|20629|CSS INDUSTRIES INC|US-PA|2019-06-30|23913000
0000021076-20-000016|21076|CLOROX CO /DE/|US-CA|2019-06-30|507000000
0000021510-19-000022|21510|COHERENT, INC.|US-CA|2019-06-29|62954000
0001437749-19-015660|21535|Cohu, Inc.|US-CA|2019-06-29|54453000
0000021665-19-000020|21665|COLGATE-PALMOLIVE COMPANY|US-NY|2019-06-30|1209000000
0000897101-19-000704|22701|Communications Systems, Inc.|US-MN|2019-06-30|3522386
0001731122-19-000421|22872|ADVANZEON SOLUTIONS, INC.|US-FL|2019-06-30|1098621
0001564590-19-031224|23111|COMPUTER TASK GROUP, INCORPORATED|US-NY|2019-06-28|12586000
0001564590-19-031188|23194|COMSTOCK RESOURCES, INC.|US-TX|2019-06-30|154122000
0000023197-20-000127|23197|COMTECH TELECOMMUNICATIONS CORP /DE/|US-NY|2019-07-31|24330000
0001564590-20-033366|23217|CONAGRA BRANDS, INC.|US-IL|2019-05-26|1252100000
0000024491-19-000029|24491|COOPER TIRE & RUBBER CO|US-OH|2019-06-30|267851000
0000024741-19-000052|24741|CORNING INC /NY|US-NY|2019-06-30|1297000000
0001628280-19-009279|25445|CRANE CO.|US-CT|2019-06-30|275200000
0000025475-19-000118|25475|CRAWFORD & COMPANY|US-GA|2019-06-30|31970000
0001387131-19-005935|25743|TherapeuticsMD, Inc.|US-FL|2019-06-30|19499238
0001437749-19-016647|25895|Crown Crafts, Inc.|US-LA|2019-06-30|6688000
0000026058-19-000058|26058|CTS CORPORATION|US-IL|2019-06-30|50942000
0000026172-19-000031|26172|CUMMINS INC.|US-IN|2019-06-30|2991000000
0000026324-19-000018|26324|CURTISS-WRIGHT CORPORATION|US-NC|2019-06-30|173791000
0000026780-19-000013|26780|DANA INC|US-OH|2019-06-30|1405000000
0001493152-19-014123|27093|U.S. GOLD CORP.|US-NV|2019-07-31|269378
0000027419-20-000023|27419|TARGET CORP|US-MN|2019-08-03|9152000000
0000027904-19-000008|27904|DELTA AIR LINES, INC.|US-GA|2019-06-30|3359000000
0000027996-19-000093|27996|DELUXE CORPORATION|US-MN|2019-06-30|95412000
0000028823-19-000165|28823|Diebold Nixdorf, Incorporated|US-OH|2019-06-30|509000000
0001564590-19-028824|29002|DIODES INC|US-TX|2019-06-30|110521000
0000029332-19-000058|29332|THE DIXIE GROUP, INC.|US-GA|2019-06-29|27521000
0001558370-19-008369|29534|DOLLAR GENERAL CORPORATION|US-TN|2019-08-02|2727079000
0000029644-20-000046|29644|DONALDSON COMPANY, INC.|US-MN|2019-07-31|237500000
0001564590-19-027463|29669|RR Donnelley & Sons Co|US-IL|2019-06-30|779200000
0000029905-19-000050|29905|DOVER Corp|US-IL|2019-06-30|960432000
0000029989-19-000017|29989|OMNICOM GROUP INC.|US-NY|2019-06-30|10445900000
0001628280-19-009972|30305|DUCOMMUN INC /DE/|US-CA|2019-06-29|79279000
0000030625-19-000062|30625|FLOWSERVE CORP|US-TX|2019-06-30|402118000
0000030697-19-000010|30697|Wendy's Co|US-OH|2019-06-30|17315000
0001144204-19-039595|30831|DYNASIL CORP OF AMERICA|US-MA|2019-06-30|2544000
0000031107-19-000027|31107|The Eastern Company|US-CT|2019-06-29|18504766
0001558370-19-006736|31462|ECOLAB INC.|US-MN|2019-06-30|1297900000
0001185185-19-000975|31667|EDUCATIONAL DEVELOPMENT CORPORATION|US-OK|2019-05-31|12043700
0000031791-19-000010|31791|PERKINELMER, INC|US-MA|2019-06-30|188051000
0001477932-21-006917|32567|EMERGE HEALTH INTERNATIONAL INC|-|2019-06-30|38852
0000032604-19-000027|32604|EMERSON ELECTRIC CO|US-MO|2019-06-30|1785000000
0001564590-19-024496|33002|ENNIS, INC.|US-TX|2019-05-31|15029000
0000033185-19-000024|33185|EQUIFAX INC|US-GA|2019-06-30|156900000
0000033213-19-000023|33213|EQT CORPORATION|US-PA|2019-06-30|850847000
0001174947-20-000957|33533|ESPEY MFG & ELECTRONICS CORP.|US-NY|2019-06-30|2160433
0000034067-19-000029|34067|DMC GLOBAL INC.|US-CO|2019-06-30|36179000
0000034563-20-000111|34563|FARMER BROTHERS CO|US-TX|2019-06-30|72771000
0001654954-19-009589|34956|TENAX THERAPEUTICS, INC.|US-NC|2019-06-30|448824
0000035214-19-000048|35214|FERRO CORP|US-OH|2019-06-30|192356000
0000037785-19-000092|37785|FMC CORPORATION|US-PA|2019-06-30|785700000
0001003297-19-000062|38264|Forward Industries, Inc.|US-NY|2019-06-30|259226
0000038725-19-000185|38725|FRANKLIN ELECTRIC CO., INC.|US-IN|2019-06-30|99654000
0001437749-19-013031|39368|H.B. Fuller Company|US-MN|2019-06-01|299935000
0000039899-19-000028|39899|TEGNA INC.|US-VA|2019-06-30|58986000
0000039911-20-000108|39911|GAP, INC|US-CA|2019-08-03|1246000000
0000040533-19-000048|40533|GENERAL DYNAMICS CORPORATION|US-VA|2019-06-30|2860000000
0000040545-19-000053|40545|General Electric Company|US-MA|2019-06-30|17036000000
0001477932-19-004845|40570|GEE GROUP INC.|US-FL|2019-06-30|9100000
0001193125-20-186469|40704|GENERAL MILLS INC|US-MN|2019-05-26|2854100000
0000040888-19-000039|40888|Aerojet Rocketdyne Holdings, Inc.|US-CA|2019-06-30|81700000
0001564590-19-026977|41719|Glatfelter Corporation|US-NC|2019-06-30|115241000
0000950123-19-006654|42582|GOODYEAR TIRE & RUBBER CO /OH/|US-OH|2019-06-30|2750000000
0001193125-19-206527|42682|GORMAN RUPP CO|US-OH|2019-06-30|14306000
0000042888-19-000036|42888|GRACO INC.|US-MN|2019-06-28|61958000
0001437749-19-015752|43196|GRAY TELEVISION INC|US-GA|2019-06-30|12000000
0000043920-19-000046|43920|GREIF, INC|US-OH|2019-07-31|458500000
0000045012-19-000112|45012|HALLIBURTON COMPANY|US-TX|2019-06-30|3017000000
0000045876-19-000126|45876|HARSCO CORP|US-PA|2019-06-30|176308000
0000045919-19-000040|45919|HARTE HANKS, INC.|US-TX|2019-06-30|19159000
0000046080-20-000085|46080|Hasbro, Inc.|US-RI|2019-06-30|330053000
0001104659-19-043321|46129|ALLIED MOTION TECHNOLOGIES INC.|US-NY|2019-06-30|25032000
0000046250-19-000031|46250|Hawkins, Inc.|US-MN|2019-06-30|31971000
0000046619-19-000061|46619|HEICO CORPORATION|US-FL|2019-07-31|97891000
0001628280-19-009063|46765|HELMERICH & PAYNE, INC.|US-OK|2019-06-30|134077000
0000047111-19-000036|47111|HERSHEY CO|US-PA|2019-06-30|479792000
0000047217-19-000048|47217|HP INC.|US-CA|2019-07-31|14648000000
0001437749-19-016640|47307|Crawford United Corporation|US-OH|2019-06-30|7316361
0000048039-19-000046|48039|HOLLYFRONTIER CORP|US-TX|2019-06-30|1199311000
0000048465-19-000041|48465|HORMEL FOODS CORPORATION|US-MN|2019-07-28|513372000
0001628280-19-009335|48898|HUBBELL INC|US-CT|2019-06-30|428700000
0001493152-19-012444|49615|ID SYSTEMS INC|US-NJ|2019-06-30|10631000
0000049728-19-000083|49728|IEC ELECTRONICS CORP|US-NY|2019-06-28|29510000
0000049754-19-000013|49754|Dine Brands Global, Inc.|US-CA|2019-06-30|43982000
0000049826-19-000088|49826|ILLINOIS TOOL WORKS INC.|US-IL|2019-06-30|512000000
0001174947-19-001002|50292|IEH Corporation|US-NY|2019-06-28|501105
0001654954-20-010541|50471|PARK CITY GROUP, INC.|US-UT|2019-06-30|530294
0000050725-19-000052|50725|GRIFFON CORP|US-NY|2019-06-30|205570000
0000050863-19-000023|50863|INTEL CORP|US-CA|2019-06-29|4682000000
0001558370-19-006560|51143|INTERNATIONAL BUSINESS MACHINES CORPORATION|US-NY|2019-06-30|4724000000
0000051253-19-000018|51253|INTERNATIONAL FLAVORS & FRAGRANCES INC|US-NY|2019-06-30|463555000
0000051434-19-000028|51434|INTERNATIONAL PAPER CO /NEW/|US-TN|2019-06-30|2498000000
0000051548-19-000033|51548|INTERNATIONAL SPEEDWAY CORP|US-FL|2019-05-31|24726000
0000051644-19-000046|51644|INTERPUBLIC GROUP OF COMPANIES, INC.|US-NY|2019-06-30|6022300000
0000052795-19-000029|52795|ANIXTER INTERNATIONAL INC|US-IL|2019-06-28|1197900000
0000052827-19-000030|52827|RAYONIER INC|US-FL|2019-06-30|24944000
0000052988-19-000053|52988|Jacobs Engineering Group Inc.|US-TX|2019-06-28|884992000
0001206774-20-001750|54187|MAYS J W INC|US-NY|2019-07-31|30964
0000054381-19-000046|54381|KAMAN CORPORATION|US-CT|2019-06-28|54086000
0001628280-19-009865|55067|KELLOGG COMPANY|US-MI|2019-06-29|2401000000
0000055242-20-000026|55242|KENNAMETAL INC.|US-PA|2019-06-30|212908000
0000055529-19-000046|55529|KEWAUNEE SCIENTIFIC CORP /DE/|US-NC|2019-07-31|15393000
0000055772-20-000108|55772|KIMBALL INTERNATIONAL, INC.|US-IN|2019-06-30|47916000
0000055785-19-000064|55785|KIMBERLY-CLARK CORPORATION|US-TX|2019-06-30|2993000000
0001140361-19-014128|56047|KIRBY CORPORATION|US-TX|2019-06-30|212147000
0001564590-19-034253|56679|KORN FERRY|US-CA|2019-07-31|33174000
0001437749-20-018841|56701|KOSS CORPORATION|US-WI|2019-06-30|1436373
0001193125-19-220961|56868|PrimeEnergy Resources Corporation|US-TX|2019-06-30|13440000
0000056978-19-000079|56978|KULICKE & SOFFA INDUSTRIES INC|US-PA|2019-06-29|42337000
0001410578-19-000845|57131|LA-Z-BOY INCORPORATED|US-MI|2019-07-27|62935000
0000057515-20-000024|57515|Lancaster Colony Corporation|US-OH|2019-06-30|76670000
0001558370-20-010874|57725|LANNETT COMPANY, INC|US-PA|2019-06-30|13493000
0001437749-19-016220|58361|LEE ENTERPRISES, INCORPORATED|US-IA|2019-06-30|13747000
0000058492-19-000015|58492|LEGGETT & PLATT INC|US-MO|2019-06-30|452900000
0000059440-19-000043|59440|VECTOR GROUP LTD.|US-FL|2019-06-30|9852000
0000059478-19-000232|59478|ELI LILLY & Co|US-IN|2019-06-30|1198900000
0000059527-19-000031|59527|LINCOLN ELECTRIC HOLDINGS, INC.|US-OH|2019-06-30|254814000
0000060667-20-000138|60667|LOWES COMPANIES INC|US-NC|2019-08-02|9499000000
0001564590-19-026988|60714|LSB Industries, Inc.|US-OK|2019-06-30|43849000
0001628280-19-009277|60977|LYDALL, INC.|US-CT|2019-06-30|81053000
0001564590-19-031532|61004|LGL GROUP INC|US-FL|2019-06-30|2255000
0000061398-19-000035|61398|Tellurian Inc.|US-TX|2019-06-30|7258000
0001144204-19-037786|62234|MARCUS CORP|US-WI|2019-06-27|47231000
0000062996-19-000056|62996|Masco Corporation|US-MI|2019-06-30|1023000000
0001628280-20-012331|63276|MATTEL INC /DE/|US-CA|2019-06-30|416430000
0000063296-19-000053|63296|MATTHEWS INTERNATIONAL CORP|US-PA|2019-06-30|68318000
0000063908-19-000062|63908|MCDONALDS CORP|US-IL|2019-06-30|796800000
0000064040-19-000162|64040|S&P Global Inc.|US-NY|2019-06-30|214000000
0001193125-19-211530|64472|GENCOR INDUSTRIES INC|US-FL|2019-06-30|2594000
0000065011-20-000104|65011|Hawkeye Acquisition, Inc.|US-IA|2019-06-30|242600000
0000065270-19-000028|65270|METHODE ELECTRONICS, INC.|US-IL|2019-07-27|90700000
0001174947-20-000945|65312|EVI Industries, Inc.|US-FL|2019-06-30|11305000
0001010549-19-000167|65759|Micropac Industries, Inc.|US-TX|2019-05-25|842000
0001136261-19-000197|65770|MicroVision, Inc.|US-WA|2019-06-30|1705000
0000065984-19-000257|65984|ENTERGY CORPORATION|US-LA|2019-06-30|1412607000
0001174947-19-000928|66004|MIDDLESEX WATER COMPANY|US-NJ|2019-06-30|18056000
0000066382-20-000038|66382|HERMAN MILLER, INC.|US-MI|2019-06-01|177700000
0000066570-19-000040|66570|MSA SAFETY INC|US-PA|2019-06-30|73264000
0001558370-19-006397|66740|3M COMPANY|US-MN|2019-06-30|2130000000
0000066756-19-000094|66756|ALLETE, Inc.|US-MN|2019-06-30|150400000
0000067215-19-000029|67215|DYCOM INDUSTRIES, INC.|US-FL|2019-07-27|140279000
0001140361-19-013948|67347|MODINE MANUFACTURING CO|US-WI|2019-06-30|272900000
0000067716-20-000044|67716|MDU Resources Group Inc|US-ND|2019-06-30|356059000
0000067887-19-000066|67887|MOOG Inc.|US-NY|2019-06-29|227600000
0000068505-19-000019|68505|Motorola Solutions, Inc.|US-IL|2019-06-29|544000000
0000068622-19-000009|68622|QWEST CORPORATION|US-LA|2019-06-30|345000000
0000068709-19-000032|68709|MTS SYSTEMS CORPORATION|US-MN|2019-06-29|39495000
0001564590-19-028374|69488|Myers Industries, Inc.|US-OH|2019-06-30|52827000
0001104659-20-105150|69633|NAPCO SECURITY TECHNOLOGIES, INC.|US-NY|2019-06-30|5135000
0001437749-19-016107|69733|NATHAN’S FAMOUS, INC.|US-NY|2019-06-30|5806000
0001437749-19-017951|69891|National Beverage Corp.|US-FL|2019-07-27|65709000
0000070145-19-000023|70145|NATIONAL FUEL GAS CO|US-NY|2019-06-30|112782000
0000070318-19-000039|70318|TENET HEALTHCARE CORP|US-TX|2019-06-30|1088000000
0001437749-19-016060|70487|National Research Corporation|US-NE|2019-06-30|1186000
0000070866-19-000019|70866|NCR CORP|US-GA|2019-06-30|769000000
0001513162-19-000173|71557|NUVERA COMMUNICATIONS, INC.|US-MN|2019-06-30|2652096
0000071691-19-000014|71691|NEW YORK TIMES CO|US-NY|2019-06-30|101259000
0000071829-19-000117|71829|Newpark Resources, Inc.|US-TX|2019-06-30|96359000
0001564590-19-030099|72162|NL INDUSTRIES, INC.|US-TX|2019-06-30|3688000
0001193125-19-244326|72205|NOBILITY HOMES INC|US-FL|2019-08-03|933587
0001564590-19-034133|72331|NORDSON CORPORATION|US-OH|2019-07-31|85565000
0000072333-20-000195|72333|NORDSTROM, INC.|US-WA|2019-08-03|1819000000
0001437749-19-016036|72444|Vaxart, Inc.|US-CA|2019-06-30|610000
0001564590-20-041451|72573|MOVADO GROUP, INC.|US-NJ|2019-07-31|50281000
0000072741-19-000034|72741|EVERSOURCE ENERGY|US-MA|2019-06-30|903431000
0000072903-19-000047|72903|XCEL ENERGY INC|US-MN|2019-06-30|1057000000
0000072909-19-000014|72909|NORTHERN STATES POWER CO /WI/|US-WI|2019-06-30|30700000
0000073088-19-000091|73088|NorthWestern Corporation|US-SD|2019-06-30|58885000
0001513162-20-000084|73290|BIOMERICA, INC.|US-CA|2019-05-31|999593
0001564590-19-029949|73309|NUCOR CORPORATION|US-NC|2019-06-29|1219792000
0000073756-19-000044|73756|OCEANEERING INTERNATIONAL INC|US-TX|2019-06-30|105171000
0000073887-19-000057|73887|BRISTOW GROUP INC|US-TX|2019-06-30|85894000
0000074046-20-000052|74046|OIL-DRI CORPORATION OF AMERICA|US-IL|2019-07-31|8092000
0000074145-19-000023|74145|OKLAHOMA GAS & ELECTRIC CO|US-OK|2019-06-30|136500000
0000074303-20-000166|74303|OLIN CORPORATION|US-MO|2019-06-30|669200000
0000075252-19-000108|75252|Owens & Minor, Inc.|US-VA|2019-06-30|1039074000
0000075288-20-000016|75288|OXFORD INDUSTRIES, INC.|US-GA|2019-08-03|48998000
0001144204-19-038752|75340|P&F INDUSTRIES, INC.|US-NY|2019-06-30|2902000
0001564590-19-028172|75677|PACKAGING CORP OF AMERICA|US-IL|2019-06-30|382800000
0001144204-19-040630|76149|PARADISE INC|US-FL|2019-06-30|1048649
0001437749-19-013842|76267|PARK Aerospace CORP|US-NY|2019-06-02|1971000
0000076334-20-000099|76334|PARKER-HANNIFIN CORPORATION|US-OH|2019-06-30|1413155000
0000076605-19-000110|76605|PATRICK INDUSTRIES, INC.|US-IN|2019-06-30|118147000
0000077360-19-000030|77360|Pentair plc|GB-|2019-06-30|261700000
0000077543-19-000038|77543|Tutor Perini Corporation|US-CA|2019-06-30|685745000
0000077877-19-000036|77877|PDC Energy, Inc.|US-CO|2019-06-30|219158000
0000078003-19-000064|78003|PFIZER INC|US-NY|2019-06-30|4002000000
0000078128-19-000010|78128|Essential Utilities, Inc.|US-PA|2019-06-30|57463000
0000078239-20-000095|78239|PVH CORP.|US-NY|2019-08-04|930200000
0000078749-19-000035|78749|AGILYSYS, INC.|US-GA|2019-06-30|4469000
0000078890-19-000031|78890|BRINKS CO|US-VA|2019-06-30|165700000
0000079282-19-000029|79282|BROWN & BROWN, INC.|US-FL|2019-06-30|98869000
0001562762-19-000316|80172|NATIONAL PRESTO INDUSTRIES INC|US-WI|2019-06-30|28311000
0000080420-19-000024|80420|Powell Industries, Inc.|US-TX|2019-06-30|38483000
0000080424-20-000059|80424|THE PROCTER & GAMBLE COMPANY|US-OH|2019-06-30|11260000000
0000081018-19-000014|81018|PUBLIC SERVICE CO OF COLORADO|US-CO|2019-06-30|383500000
0000081061-19-000035|81061|PUBLIX SUPER MARKETS, INC.|US-FL|2019-06-29|1873569000
0001654954-19-009467|81157|PGI INCORPORATED|US-MO|2019-06-30|10000
0000081362-19-000013|81362|QUAKER CHEMICAL CORPORATION|US-PA|2019-06-30|93886000
0001558370-19-006950|82020|UNITED STATES LIME & MINERALS INC|US-TX|2019-06-30|4952000
0000082166-19-000075|82166|RAVEN INDUSTRIES, INC.|US-SD|2019-07-31|15722000
0000082811-19-000100|82811|Regal Rexnord Corp|US-WI|2019-06-29|416700000
0001437749-19-016695|83350|RESERVE PETROLEUM CO|US-OK|2019-06-30|174739
0001104659-19-039944|84129|RITE AID CORP|US-PA|2019-06-01|1556425000
0000084748-19-000029|84748|ROGERS CORP|US-AZ|2019-06-30|42214000
0001171200-19-000278|84839|ROLLINS, INC.|US-GA|2019-06-30|37644000
0001558370-20-009452|85535|ROYAL GOLD, INC.|US-CO|2019-06-30|2890000
0000085961-19-000125|85961|RYDER SYSTEM, INC.|US-FL|2019-06-30|768054000
0001628280-19-010556|86115|SAFEGUARD SCIENTIFICS INC|US-PA|2019-06-30|143000
0001213900-19-015652|87050|NEONODE INC.|SE-|2019-06-30|401000
0001654954-20-010982|87802|SCIENTIFIC INDUSTRIES, INC|US-NY|2019-06-30|569000
0001564590-19-029608|88000|Scott's Liquid Gold - Inc.|US-CO|2019-06-30|1603000
0000088121-19-000032|88121|Seaboard Corporation|US-KS|2019-06-29|262000000
0000088205-19-000034|88205|SPX CORP|US-NC|2019-06-29|135900000
0000897101-19-000732|88790|INTRICON         CORPORATION|US-MN|2019-06-30|12000000
0001437749-20-016666|88948|SENECA FOODS CORPORATION|US-NY|2019-06-29|77571000
0001144204-19-040099|89140|Servotronics, Inc.|US-NY|2019-06-30|3693000
0000089439-19-000060|89439|MUELLER INDUSTRIES INC|US-TN|2019-06-29|106055000
0000089800-20-000020|89800|SHERWIN WILLIAMS CO|US-OH|2019-06-30|2067900000
0000090168-19-000025|90168|SIFCO Industries, Inc.|US-OH|2019-06-30|16715000
0001564590-19-027980|90896|Skyline Champion Corporation|US-MI|2019-06-29|45037000
0000091419-19-000014|91419|The J. M. Smucker Company|US-OH|2019-07-31|503100000
0000091440-19-000017|91440|Snap-on Inc|US-WI|2019-06-29|215300000
0000091767-19-000054|91767|SONOCO PRODUCTS COMPANY|US-SC|2019-06-30|554431000
0001564590-19-028287|91882|Dominion Energy South Carolina, Inc.|US-SC|2019-06-30|150000000
0000091928-19-000073|91928|SOUTH JERSEY INDUSTRIES, INC.|US-NJ|2019-06-30|288881000
0000092122-19-000037|92122|The Southern Company|US-GA|2019-06-30|1978000000
0000092380-19-000077|92380|SOUTHWEST AIRLINES CO.|US-TX|2019-06-30|1330000000
0000092521-19-000013|92521|SOUTHWESTERN PUBLIC SERVICE CO|US-TX|2019-06-30|160400000
0001078782-19-000645|93314|VOLITIONRX LIMITED|US-TX|2019-06-30|1318576
0001140361-19-013701|93389|STANDARD MOTOR PRODUCTS, INC.|US-NY|2019-06-30|89149000
0000093410-19-000029|93410|Chevron Corp|US-CA|2019-06-30|14805000000
0000093556-19-000034|93556|Stanley Black & Decker, Inc.|US-CT|2019-06-29|2323800000
0001437749-20-020023|93676|STARRETT L S CO|US-MA|2019-06-30|12881000
0001564590-19-027273|94049|STEPAN CO|US-IL|2019-06-30|184727000
0000094845-19-000029|94845|LEVI STRAUSS & CO.|US-CA|2019-05-26|339497000
0001564590-19-030674|95552|SUPERIOR INDUSTRIES INTERNATIONAL, INC.|US-MI|2019-06-30|128980000
0001437749-19-014882|95574|SUPERIOR GROUP OF COMPANIES, INC.|US-FL|2019-06-30|25903000
0000095953-19-000089|95953|Synalloy Corporation|US-VA|2019-06-30|28960431
0000096021-20-000100|96021|SYSCO CORP|US-TX|2019-06-29|4314620000
0001564590-19-031345|96271|TAMPA ELECTRIC COMPANY|US-FL|2019-06-30|205000000
0000096536-20-000013|96536|TAYLOR DEVICES INC|US-NY|2019-05-31|1402692
0001171843-19-005468|96699|Technical Communications Corporation|US-MA|2019-06-29|318186
0001564590-20-044839|96793|SUNLINK HEALTH SYSTEMS, INC.|US-GA|2019-06-30|1564000
0000096869-19-000011|96869|TEJON RANCH CO|US-CA|2019-06-30|5660000
0000096943-19-000140|96943|TELEFLEX INCORPORATED|US-PA|2019-06-30|108059000
0000097134-19-000032|97134|TENNANT CO|US-MN|2019-06-30|98700000
0001193125-19-217772|97210|TERADYNE, INC.|US-MA|2019-06-30|103449000
0000097216-19-000177|97216|TEREX CORP|US-CT|2019-06-30|608300000
